year,month,name,location_approx,magnitude_estimate,sources_notes
-2150,,Bronze Age earthquake (Jericho),Jericho,7.0,"Speculative; archaeological"
-1850,,Sodom destruction earthquake (proposed),Dead Sea Basin,7.0,"Disputed; Tall el-Hammam"
-760,,Amos earthquake (Uzziah quake),Galilee/Hazor,7.5,"Hazor stratum VI; Amos 1:1; Zechariah 14:5"
-31,9,Herodian earthquake,Judea,7.0,"Josephus; ~30000 deaths reported"
33,,Crucifixion earthquake (Matthew 27),Jerusalem,?,"Disputed; sediment record cited"
115,12,Antioch earthquake (Trajan present),Antioch,7.5,"Cassius Dio"
363,5,Galilee earthquake,Galilee,7.0,"Julian's Temple project; sources: Ammianus"
418,,Jericho/Negev earthquake,Negev,?,"Historical"
551,7,Beirut earthquake and tsunami,Lebanon/Syria coast,7.5,"Major destruction"
634,,Palestine earthquake,Palestine,?,"Christian Arab chronicles"
659,,Levant earthquake,Levant,?,"Theophanes"
749,1,Sabbatical Year earthquake (Galilee),Beit Shean/Tiberias,7.0,"Massive damage Beit Shean Tiberias Jericho"
859,12,Antioch / Northern Levant,Antioch/Aleppo,7.5,"Major event"
1033,12,Jordan Valley earthquake,Jericho,7.0,"Ramla Jerusalem damage"
1063,8,Tripoli/Northern Levant,Tripoli,7.0,"Historical"
1068,3,Aqaba/Eilat earthquake,Aqaba Gulf,7.0,"Ramla Jerusalem damage"
1114,11,Antioch,Antioch,7.0,"Crusader chronicles"
1138,10,Aleppo earthquake,Aleppo,7.1,"Ibn al-Athir; ~230000 deaths reported (likely conflated)"
1170,6,Syria/Levant,Syria,7.5,"Saladin era; Crusader sources"
1202,5,Eastern Mediterranean,Galilee/Lebanon,7.5,"Major; Ambraseys"
1212,5,Aqaba/Dead Sea,Dead Sea,7.0,"Crusader chronicles"
1303,8,Crete/Eastern Mediterranean,East Med,8.0,"Tsunami reaches Levant"
1456,11,Naples,Naples,7.0,"Distant; some Levant tremor"
1481,5,Rhodes,Rhodes,7.1,"Crusader era"
1759,10,Safed earthquake,Galilee,6.6,"Major Galilee damage"
1759,11,Baalbek earthquake (Beqaa),Beqaa Valley,7.4,"Largest historical Lebanon event"
1822,8,Aleppo,Aleppo,7.0,"Major Aleppo destruction"
1837,1,Galilee earthquake (Safed),Safed/Tiberias,7.0,"~5000 deaths; Ambraseys"
1872,4,Antakya earthquake,Antakya,7.2,"Northern Levant"
1927,7,Jericho earthquake,Jericho,6.2,"~300 deaths"
1995,11,Aqaba earthquake,Aqaba/Eilat,7.3,"Largest modern Levant quake"
2023,2,Türkiye-Syria earthquake,Antakya/Aleppo,7.8,"55000+ deaths; major aftershocks"
